1,Greater Santo Domingo,"Distrito Nacional, Santo Domingo","38,13,214"
2,Santo Domingo de Guzman,Distrito Nacional,"29,87,013"
3,Santiago de los Caballeros,Santiago,"13,29,091"
4,Santo Domingo Este,Santo Domingo,"6,24,704"
5,Santo Domingo Norte,Santo Domingo,"2,86,912"
6,Santo Domingo Oeste,Santo Domingo,"7,01,847"
7,San Felipe de Puerto Plata,Puerto Plata,"2,77,981"
8,San Pedro de Macoris,San Pedro de Macoris,"1,93,713"
9,La Romana,La Romana,"1,91,303"
10,Los Alcarrizos (D.M.),Santo Domingo,"1,66,930"
11,San Francisco de Macoris,Duarte,"1,63,980"
12,San Cristobal,San Cristobal,"1,37,422"
13,Salvaleon de Higuey,La Altagracia,"1,03,502"
14,Concepcion de la Vega,La Vega,"2,20,279"
15,Santa Cruz de Barahona,Barahona,"74,958"
16,Bonao,Monsenor Nouel,"72,821"
17,San Juan de la Maguana,San Juan,"70,969"
18,Bani,Peravia,"61,864"
19,Bajos de Haina,San Cristobal,"61,400"
20,Moca,Espaillat,"59,174"
21,Azua de Compostela,Azua,"56,453"
22,Mao,Valverde,"47,828"
23,Boca Chica,Santo Domingo,"46,385"
24,Cotui,Sanchez Ramirez,"42,115"
25,Esperanza,Valverde,"41,189"
26,Villa Altagracia,San Cristobal,"36,791"
27,Hato Mayor del Rey,Hato Mayor,"34,006"
28,Nagua,Maria Trinidad Sanchez,"32,035"
29,Villa Bisono,Santiago,"29,723"
30,Jarabacoa,La Vega,"27,370"
31,Constanza,La Vega,"27,090"
32,Consuelo,San Pedro de Macoris,"25,034"
33,Pedro Brand (D.M.),Santo Domingo,"22,695"
34,Santa Cruz del Seibo,El Seibo,"22,489"
35,Tamboril,Santiago,"21,939"
36,Las Matas de Farfan,San Juan,"21,271"
37,San Jose de Ocoa,San Jose de Ocoa,"21,226"
38,Bayaguana,Monte Plata,"19,351"
39,Hato del Yaque (D.M.),Santiago,"18,354"
40,Neyba,Baoruco,"18,305"
41,Dajabon,Dajabon,"16,328"
42,Sabana Grande de Boya,Monte Plata,"16,291"
43,San Ignacio de Sabaneta,Santiago Rodriguez,"16,270"
44,Quisqueya,San Pedro de Macoris,"15,912"
45,San Fernando de Monte Cristi,Monte Cristi,"15,629"
46,Monte Plata,Monte Plata,"14,850"
47,Maimon,Monsenor Nouel,"14,514"
48,Sabana de la Mar,Hato Mayor,"13,495"
49,La Victoria (D.M.),Santo Domingo,"13,112"
50,Cambita Garabitos,San Cristobal,"12,519"
51,Cabral,Barahona,"12,175"
52,Duverge,Independencia,"12,053"
53,Salcedo,Hermanas Mirabal Province,"11,994"
54,San Antonio de Guerra (D.M.),Santo Domingo,"11,553"
55,Yamasa,Monte Plata,"11,400"
56,Comendador,Elias Pina,"11,391"
57,Villa Vasquez,Monte Cristi,"11,353"
58,Sanchez,Samana,"11,058"
59,Vicente Noble,Barahona,"10,848"
60,San Gregorio de Nigua,San Cristobal,"10,798"
61,Santa Barbara de Samana,Samana,"10,692"
62,Sabana Yegua (D.M.),Azua,"10,395"
63,Pedernales,Pedernales,"10,339"
64,La Mata (D.M.),Sanchez Ramirez,"10,034"
